cond;hs_sens;contempt
neutral;2,66666666666667;1,4
hateful;4,33333333333333;1,0
hateful;3,33333333333333;1,2
neutral;2,33333333333333;1,0
hateful;4,66666666666667;1,6
hateful;4,00000000000000;1,2
neutral;4,66666666666667;1,2
hateful;4,33333333333333;2,4
neutral;4,00000000000000;1,4
neutral;3,66666666666667;2,0
neutral;3,50000000000000;1,0
hateful;4,00000000000000;1,4
hateful;4,66666666666667;1,0
neutral;2,33333333333333;2,2
hateful;2,33333333333333;1,0
hateful;3,66666666666667;2,4
neutral;4,66666666666667;1,4
neutral;2,66666666666667;1,0
hateful;3,33333333333333;1,4
neutral;1,33333333333333;1,6
hateful;3,00000000000000;1,0
hateful;3,00000000000000;1,0
neutral;4,33333333333333;1,0
hateful;3,66666666666667;1,0
neutral;3,66666666666667;1,6
hateful;3,00000000000000;2,0
neutral;3,66666666666667;1,2
neutral;4,00000000000000;2,0
hateful;2,33333333333333;4,4
neutral;1,66666666666667;1,0
hateful;1,66666666666667;3,2
hateful;3,33333333333333;1,4
neutral;3,66666666666667;1,2
hateful;3,00000000000000;1,2
neutral;3,66666666666667;1,0
neutral;3,66666666666667;1,2
hateful;5,00000000000000;1,0
hateful;3,00000000000000;1,8
neutral;2,00000000000000;1,2
neutral;4,00000000000000;1,8
hateful;4,66666666666667;1,0
hateful;3,33333333333333;1,4
hateful;4,00000000000000;3,4
neutral;2,33333333333333;2,0
hateful;3,00000000000000;3,4
neutral;1,66666666666667;1,0
hateful;4,00000000000000;1,0
neutral;4,00000000000000;2,2
hateful;3,66666666666667;1,0
neutral;3,66666666666667;3,0
hateful;4,33333333333333;2,2
neutral;3,33333333333333;1,0
hateful;4,00000000000000;3,0
neutral;4,00000000000000;1,4
neutral;3,66666666666667;2,2
hateful;2,00000000000000;1,8
neutral;1,66666666666667;2,4
neutral;2,33333333333333;1,6
hateful;4,33333333333333;2,2
hateful;2,33333333333333;2,8
neutral;4,33333333333333;2,0
hateful;3,33333333333333;1,0
hateful;2,66666666666667;1,0
hateful;3,00000000000000;4,0
neutral;3,33333333333333;1,0
hateful;3,33333333333333;1,6
neutral;2,00000000000000;2,0
neutral;3,33333333333333;2,6
hateful;3,33333333333333;2,0
hateful;3,66666666666667;2,6
hateful;1,00000000000000;6,2
hateful;2,33333333333333;1,4
neutral;2,66666666666667;1,2
neutral;4,33333333333333;1,0
hateful;2,33333333333333;2,0
hateful;4,00000000000000;3,6
neutral;3,00000000000000;2,0
neutral;2,33333333333333;1,4
neutral;3,00000000000000;1,0
hateful;3,00000000000000;2,8
hateful;2,00000000000000;1,0
neutral;2,00000000000000;1,8
neutral;2,66666666666667;1,2
neutral;2,33333333333333;2,6
hateful;3,00000000000000;1,2
hateful;5,00000000000000;2,2
neutral;4,00000000000000;1,2
neutral;2,66666666666667;1,4
hateful;4,33333333333333;1,4
neutral;3,00000000000000;1,0
neutral;3,66666666666667;1,0
neutral;3,33333333333333;2,6
hateful;3,66666666666667;1,4
neutral;3,66666666666667;1,6
hateful;2,66666666666667;2,6
neutral;4,66666666666667;1,2
hateful;2,00000000000000;4,0
neutral;1,66666666666667;4,2
neutral;2,00000000000000;2,2
hateful;1,66666666666667;5,0
